enrollment_id,student_id,program_name,program,start_date,end_date,status,cohort,site
ENR8280,STU0180,Literacy First,Literacy First,01 Sep 2023,12/10/2023,ACTIVE,Sp24,West Loop
ENR9496,STU0180,Summer Bridge,Summer Bridge,2023-08-24,01-07-2024,dropout,,West Loop
ENR1395,STU0180,STEM Bootcamp,STEM Bootcamp,10-13-2023,12/31/2023,completed,Fall 2023,West Loop
ENR8528,STU0181,College Prep 101,College Prep 101,18 Aug 2023,11 Jan 2024,completed,Fall 2023,Pilsen
ENR6629,STU0181,Literacy First,Literacy First,23 Aug 2023,11/03/2023,completed,Fall 2023,Pilsen
ENR6525,STU0182,Literacy First,Literacy First,09/23/2023,12/18/2023,active,Fall 2023,
ENR9596,STU0183,Literacy First,Literacy First,2023-09-22,12-03-2023,active,Fall 2023,Pilsen
ENR4746,STU0183,After School Math,After School Math,08/21/2023,2023-10-24,Completed,,Englewood
ENR7332,STU0184,STEM Bootcamp,STEM Bootcamp,09 Sep 2023,2023-12-25,Active,,Hyde Park
ENR5775,STU0184,After School Math,After School Math,2023-10-16,"March 25, 2024",Completed,Sp24,
ENR8533,STU0184,College Prep 101,College Prep 101,"August 23, 2023",14 Nov 2023,Active,,Hyde Park
ENR3971,STU0185,Summer Bridge,Summer Bridge,2023-10-23,03/27/2024,Active,,South Side
ENR3297,STU0186,STEM Bootcamp,STEM Bootcamp,08/19/2023,"October 29, 2023",,Fall 2023,Pilsen
ENR4479,STU0186,Summer Bridge,Summer Bridge,2023-08-14,,Dropped,Spring 2024,Englewood
ENR5806,STU0187,College Prep 101,College Prep 101,"October 12, 2023",2024-01-06,Active,Fall23,West Loop
ENR4046,STU0188,Literacy First,Literacy First,05 Sep 2023,"November 13, 2023",Completed,Fall23,South Side
ENR3309,STU0188,College Prep 101,College Prep 101,10/14/2023,,dropout,Fall23,Hyde Park
ENR1665,STU0189,Summer Bridge,Summer Bridge,27 Sep 2023,2024-01-13,,Fall 2023,Hyde Park
ENR8571,STU0189,Literacy First,Literacy First,09-21-2023,02-27-2024,completed,,West Loop
ENR9817,STU0190,STEM Bootcamp,STEM Bootcamp,08-17-2023,,ACTIVE,Spring 2024,
ENR3144,STU0191,College Prep 101,College Prep 101,"September 06, 2023","January 14, 2024",Completed,Fall23,Hyde Park
ENR8392,STU0192,Literacy First,Literacy First,10-24-2023,03/22/2024,Completed,Fall23,Pilsen
ENR6527,STU0192,After School Math,After School Math,10 Oct 2023,02/13/2024,,Spring 2024,Pilsen
ENR9045,STU0193,STEM Bootcamp,STEM Bootcamp,2023-08-06,01-08-2024,Completed,Fall 2023,Englewood
ENR7576,STU0193,Literacy First,Literacy First,"October 05, 2023","February 29, 2024",,Fall23,South Side
ENR3487,STU0194,College Prep 101,College Prep 101,"October 22, 2023",,Completed,,
ENR9499,STU0194,Literacy First,Literacy First,2023-08-17,09 Dec 2023,ACTIVE,Spring 2024,West Loop
ENR1034,STU0195,STEM Bootcamp,STEM Bootcamp,09/16/2023,"November 15, 2023",ACTIVE,,South Side
ENR1124,STU0195,College Prep 101,College Prep 101,10-28-2023,"December 27, 2023",ACTIVE,Fall 2023,West Loop
ENR9475,STU0196,After School Math,After School Math,"September 07, 2023",02/29/2024,,Spring 2024,Englewood
ENR7350,STU0197,Literacy First,Literacy First,26 Oct 2023,18 Mar 2024,ACTIVE,Fall 2023,
ENR6521,STU0198,Literacy First,Literacy First,2023-09-14,12/03/2023,dropout,Fall 2023,Hyde Park
ENR6141,STU0199,Literacy First,Literacy First,17 Sep 2023,2023-12-02,,Fall23,South Side
ENR5822,STU0199,College Prep 101,College Prep 101,08-02-2023,"November 24, 2023",Completed,Spring 2024,Englewood
ENR7367,STU0200,Summer Bridge,Summer Bridge,2023-08-08,01-25-2024,active,Sp24,South Side
ENR9590,STU0201,Literacy First,Literacy First,08/28/2023,2023-11-25,Active,Fall23,
ENR5953,STU0202,STEM Bootcamp,STEM Bootcamp,09/14/2023,12-11-2023,Active,Fall 2023,Pilsen
ENR7046,STU0203,,After School Math,2023-08-06,12-28-2023,Completed,,West Loop
ENR3294,STU0203,Literacy First,Literacy First,2023-09-12,2023-11-23,completed,Spring 2024,Pilsen
ENR9515,STU0203,Summer Bridge,Summer Bridge,10/17/2023,03-08-2024,,Fall 2023,Hyde Park
ENR9808,STU0204,Literacy First,Literacy First,2023-08-23,"October 31, 2023",ACTIVE,Fall23,
ENR2713,STU0205,Summer Bridge,Summer Bridge,"October 09, 2023",01-21-2024,,,Englewood
ENR7716,STU0206,STEM Bootcamp,STEM Bootcamp,09-23-2023,,dropout,Sp24,Hyde Park
ENR4316,STU0206,Literacy First,Literacy First,"August 06, 2023","November 23, 2023",Completed,Fall23,West Loop
ENR3327,STU0206,,College Prep 101,"October 23, 2023","February 18, 2024",Dropped,Fall23,Pilsen
ENR6338,STU0207,STEM Bootcamp,STEM Bootcamp,10/08/2023,04-05-2024,ACTIVE,Fall 2023,West Loop
ENR2875,STU0208,STEM Bootcamp,STEM Bootcamp,"August 21, 2023",,dropout,Spring 2024,Englewood
ENR7921,STU0209,,STEM Bootcamp,10-27-2023,01-23-2024,Active,,Englewood
ENR1620,STU0210,Summer Bridge,Summer Bridge,10/07/2023,01-16-2024,dropout,Sp24,West Loop
ENR8854,STU0211,Literacy First,Literacy First,03 Sep 2023,11/25/2023,Completed,Fall23,South Side
ENR4207,STU0212,After School Math,After School Math,08/05/2023,,Dropped,Fall 2023,Englewood
ENR3410,STU0212,,Literacy First,2023-08-27,11/11/2023,ACTIVE,,South Side
ENR2937,STU0213,College Prep 101,College Prep 101,03 Oct 2023,"March 08, 2024",completed,Spring 2024,
ENR7773,STU0214,,Summer Bridge,"August 27, 2023",2023-12-02,completed,Fall 2023,South Side
ENR7307,STU0214,STEM Bootcamp,STEM Bootcamp,09-05-2023,02 Dec 2023,dropout,Fall 2023,South Side
ENR8200,STU0215,College Prep 101,College Prep 101,2023-10-11,2024-04-02,active,Spring 2024,Englewood
ENR8502,STU0215,Summer Bridge,Summer Bridge,10-22-2023,2024-02-03,Completed,Spring 2024,South Side
ENR5744,STU0215,STEM Bootcamp,STEM Bootcamp,08-25-2023,11 Nov 2023,completed,Sp24,South Side
ENR1688,STU0216,College Prep 101,College Prep 101,05 Sep 2023,12-19-2023,Completed,Sp24,Pilsen
ENR1252,STU0216,Literacy First,Literacy First,"October 08, 2023","February 08, 2024",Dropped,Fall23,Hyde Park
ENR6868,STU0216,STEM Bootcamp,STEM Bootcamp,10/19/2023,2024-03-16,Active,Fall 2023,Englewood
ENR9528,STU0217,STEM Bootcamp,STEM Bootcamp,"August 10, 2023",05 Feb 2024,completed,,West Loop
ENR6052,STU0217,College Prep 101,College Prep 101,08-23-2023,2023-10-28,Active,,South Side
ENR2606,STU0217,Literacy First,Literacy First,2023-08-03,13 Dec 2023,active,Fall23,Pilsen
ENR6099,STU0218,After School Math,After School Math,2023-09-04,01/19/2024,Active,Sp24,Englewood
ENR3874,STU0218,STEM Bootcamp,STEM Bootcamp,09/19/2023,01/11/2024,Active,Fall23,Englewood
ENR9634,STU0219,Literacy First,Literacy First,2023-10-18,30 Mar 2024,dropout,Sp24,Pilsen
ENR9315,STU0220,STEM Bootcamp,STEM Bootcamp,08-03-2023,10/05/2023,,Fall23,Pilsen
ENR4313,STU0221,STEM Bootcamp,STEM Bootcamp,"August 09, 2023",2023-12-19,completed,Fall 2023,
ENR7523,STU0222,College Prep 101,College Prep 101,17 Sep 2023,02-16-2024,dropout,Spring 2024,
ENR1005,STU0223,Literacy First,Literacy First,"October 26, 2023",2024-04-14,active,Fall 2023,South Side
ENR1382,STU0223,STEM Bootcamp,STEM Bootcamp,08/07/2023,01/12/2024,Dropped,,Pilsen
ENR5450,STU0224,College Prep 101,College Prep 101,20 Sep 2023,24 Nov 2023,Dropped,Fall23,
ENR5358,STU0225,College Prep 101,College Prep 101,2023-10-28,2024-02-28,active,,Hyde Park
ENR4939,STU0226,Literacy First,Literacy First,25 Oct 2023,25 Jan 2024,active,,Pilsen
ENR1019,STU0227,Summer Bridge,Summer Bridge,"October 05, 2023","March 21, 2024",,Sp24,Pilsen
ENR1515,STU0228,STEM Bootcamp,STEM Bootcamp,2023-08-23,2023-11-10,active,Fall 2023,Englewood
ENR5956,STU0228,Summer Bridge,Summer Bridge,"September 15, 2023",,active,Sp24,West Loop
ENR7922,STU0228,College Prep 101,College Prep 101,"August 11, 2023",12/11/2023,,,West Loop
ENR8065,STU0229,,Literacy First,"September 19, 2023",,completed,Sp24,
ENR2952,STU0230,After School Math,After School Math,09/21/2023,11-28-2023,ACTIVE,Sp24,Hyde Park
ENR7583,STU0230,College Prep 101,College Prep 101,2023-09-06,27 Feb 2024,completed,Fall23,Englewood
ENR7036,STU0231,Literacy First,Literacy First,"October 14, 2023",2024-01-31,Dropped,,Pilsen
ENR7567,STU0232,College Prep 101,College Prep 101,15 Aug 2023,,dropout,,Englewood
ENR3501,STU0232,STEM Bootcamp,STEM Bootcamp,"August 21, 2023",2023-11-01,active,,Hyde Park
ENR7080,STU0233,Literacy First,Literacy First,10-19-2023,,ACTIVE,Fall 2023,Englewood
ENR5055,STU0234,Summer Bridge,Summer Bridge,09-17-2023,11/30/2023,ACTIVE,,Englewood
ENR1565,STU0235,After School Math,After School Math,2023-10-20,,Active,,Hyde Park
ENR3538,STU0235,College Prep 101,College Prep 101,"August 21, 2023",2024-01-31,completed,Fall23,Hyde Park
ENR9589,STU0236,After School Math,After School Math,12 Aug 2023,,ACTIVE,,Pilsen
ENR7301,STU0237,,After School Math,09/02/2023,02-10-2024,Dropped,,West Loop
ENR2672,STU0237,Literacy First,Literacy First,08 Sep 2023,"December 01, 2023",,,Englewood
ENR2828,STU0237,STEM Bootcamp,STEM Bootcamp,"August 13, 2023",01 Nov 2023,dropout,,Hyde Park
ENR3688,STU0238,College Prep 101,College Prep 101,2023-09-07,2023-12-31,Dropped,,South Side
ENR2076,STU0238,Literacy First,Literacy First,24 Aug 2023,01-12-2024,dropout,Spring 2024,West Loop
ENR4496,STU0239,After School Math,After School Math,10/02/2023,2024-02-19,Dropped,Fall 2023,Hyde Park
ENR6884,STU0239,College Prep 101,College Prep 101,08/10/2023,2023-10-20,ACTIVE,Fall23,Englewood
ENR2659,STU0240,After School Math,After School Math,03 Oct 2023,01-19-2024,Completed,Fall23,West Loop
ENR4227,STU0241,STEM Bootcamp,STEM Bootcamp,"September 12, 2023",,Dropped,Fall 2023,South Side
ENR2787,STU0241,Summer Bridge,Summer Bridge,10/17/2023,,,Fall23,West Loop
ENR5359,STU0242,STEM Bootcamp,STEM Bootcamp,09-23-2023,20 Jan 2024,Completed,Spring 2024,Pilsen
ENR6686,STU0243,Summer Bridge,Summer Bridge,06 Sep 2023,30 Dec 2023,dropout,Spring 2024,Hyde Park
ENR7069,STU0244,College Prep 101,College Prep 101,21 Sep 2023,2023-12-11,ACTIVE,Spring 2024,Hyde Park
ENR2508,STU0245,Literacy First,Literacy First,09-14-2023,2023-12-14,ACTIVE,Spring 2024,Pilsen
ENR7884,STU0246,Literacy First,Literacy First,10/26/2023,2024-03-05,Dropped,,Pilsen
ENR3735,STU0246,After School Math,After School Math,03 Oct 2023,27 Feb 2024,ACTIVE,Fall 2023,
ENR6090,STU0247,STEM Bootcamp,STEM Bootcamp,08-15-2023,28 Dec 2023,Active,,Englewood
ENR9560,STU0248,,After School Math,2023-10-17,,completed,Spring 2024,Pilsen
ENR7173,STU0248,STEM Bootcamp,STEM Bootcamp,"October 25, 2023",30 Dec 2023,Completed,Fall 2023,
ENR8465,STU0249,STEM Bootcamp,STEM Bootcamp,04 Aug 2023,,dropout,Spring 2024,Hyde Park
ENR5237,STU0250,STEM Bootcamp,STEM Bootcamp,2023-08-02,11-03-2023,completed,Spring 2024,West Loop
ENR6813,STU0250,College Prep 101,College Prep 101,08/05/2023,"January 08, 2024",Completed,Fall 2023,West Loop
ENR3884,STU0250,Summer Bridge,Summer Bridge,10-16-2023,22 Mar 2024,ACTIVE,Fall 2023,West Loop
ENR6946,STU0251,Literacy First,Literacy First,2023-08-16,01/08/2024,Completed,Fall 2023,Hyde Park
ENR6390,STU0251,STEM Bootcamp,STEM Bootcamp,10-28-2023,26 Mar 2024,completed,Fall23,Pilsen
ENR7948,STU0252,Summer Bridge,Summer Bridge,10/07/2023,12-14-2023,dropout,,West Loop
ENR7055,STU0253,STEM Bootcamp,STEM Bootcamp,08/01/2023,2023-11-03,Dropped,,
ENR3147,STU0254,Literacy First,Literacy First,09-17-2023,22 Nov 2023,,Sp24,Englewood
ENR6705,STU0255,Literacy First,Literacy First,09 Oct 2023,,Active,Fall 2023,South Side
ENR9330,STU0256,Literacy First,Literacy First,08/18/2023,"February 06, 2024",Completed,Fall 2023,Pilsen
ENR4548,STU0257,Literacy First,Literacy First,"September 21, 2023",,Dropped,,Pilsen
ENR3844,STU0258,Literacy First,Literacy First,10-03-2023,26 Mar 2024,Active,Sp24,West Loop
ENR2291,STU0258,College Prep 101,College Prep 101,2023-08-06,12-20-2023,,Fall23,South Side
ENR9222,STU0259,College Prep 101,College Prep 101,08/17/2023,,completed,Sp24,Pilsen
ENR1274,STU0260,After School Math,After School Math,09-12-2023,12-19-2023,completed,,Pilsen
ENR1284,STU0261,STEM Bootcamp,STEM Bootcamp,09/28/2023,,Dropped,Sp24,South Side
ENR9979,STU0261,Literacy First,Literacy First,09-21-2023,"March 11, 2024",Completed,,Pilsen
ENR5454,STU0262,After School Math,After School Math,"September 10, 2023",01-14-2024,Active,Sp24,Pilsen
ENR5108,STU0263,After School Math,After School Math,10-05-2023,"February 21, 2024",ACTIVE,Fall 2023,South Side
ENR8812,STU0263,Literacy First,Literacy First,2023-08-10,15 Oct 2023,Completed,,West Loop
ENR5677,STU0263,Summer Bridge,Summer Bridge,"September 26, 2023",2023-12-14,active,Fall23,South Side
ENR8971,STU0264,College Prep 101,College Prep 101,26 Aug 2023,18 Dec 2023,Active,Spring 2024,West Loop
ENR9313,STU0265,College Prep 101,College Prep 101,10/25/2023,"February 15, 2024",,,Englewood
ENR1589,STU0265,Literacy First,Literacy First,26 Sep 2023,12/07/2023,dropout,Spring 2024,Englewood
ENR1269,STU0266,After School Math,After School Math,08/25/2023,01-10-2024,Dropped,Fall23,Hyde Park
ENR9453,STU0266,STEM Bootcamp,STEM Bootcamp,08/25/2023,2023-12-14,completed,Sp24,
ENR6844,STU0266,College Prep 101,College Prep 101,2023-10-04,03-17-2024,dropout,Fall 2023,Hyde Park
ENR7085,STU0267,STEM Bootcamp,STEM Bootcamp,05 Oct 2023,12/21/2023,dropout,Spring 2024,South Side
ENR9247,STU0267,Literacy First,Literacy First,2023-10-23,12/22/2023,Active,Fall23,
ENR1075,STU0268,After School Math,After School Math,04 Aug 2023,10/26/2023,Dropped,,Hyde Park
ENR1860,STU0269,STEM Bootcamp,STEM Bootcamp,08/05/2023,"October 25, 2023",Dropped,Sp24,South Side
ENR4036,STU0270,College Prep 101,College Prep 101,2023-09-13,10 Jan 2024,,Sp24,
ENR5593,STU0271,Summer Bridge,Summer Bridge,09-02-2023,18 Nov 2023,Completed,Fall23,Hyde Park
ENR7373,STU0272,Summer Bridge,Summer Bridge,08-06-2023,"December 27, 2023",dropout,Fall23,Pilsen
ENR2166,STU0272,After School Math,After School Math,27 Aug 2023,"December 25, 2023",Dropped,,Hyde Park
ENR7295,STU0272,College Prep 101,College Prep 101,"October 11, 2023","January 23, 2024",,Fall 2023,West Loop
ENR7172,STU0273,After School Math,After School Math,09/25/2023,12/07/2023,Completed,Sp24,South Side
ENR4016,STU0273,Summer Bridge,Summer Bridge,2023-08-02,11-26-2023,,Fall23,Englewood
ENR6518,STU0274,Summer Bridge,Summer Bridge,09-16-2023,12/13/2023,Completed,,South Side
ENR7750,STU0274,Literacy First,Literacy First,10/04/2023,2024-03-26,Completed,Fall 2023,Hyde Park
ENR9754,STU0274,STEM Bootcamp,STEM Bootcamp,"August 19, 2023",12-02-2023,Dropped,Fall 2023,Englewood
ENR5984,STU0275,Literacy First,Literacy First,10 Oct 2023,2024-01-07,,Spring 2024,Pilsen
ENR7125,STU0276,Literacy First,Literacy First,09/03/2023,"February 19, 2024",Dropped,,South Side
ENR3763,STU0277,College Prep 101,College Prep 101,09-14-2023,2024-03-05,Dropped,Spring 2024,South Side
ENR2238,STU0277,STEM Bootcamp,STEM Bootcamp,"August 26, 2023",2024-01-22,Active,,South Side
ENR5084,STU0277,After School Math,After School Math,2023-09-05,2023-11-17,active,Sp24,
ENR1265,STU0278,Literacy First,Literacy First,2023-10-20,,completed,Fall23,Englewood
ENR2883,STU0279,STEM Bootcamp,STEM Bootcamp,10-12-2023,2024-02-04,Active,Fall23,Hyde Park
ENR8682,STU0280,STEM Bootcamp,STEM Bootcamp,08/02/2023,2023-11-06,Dropped,Fall23,West Loop
ENR8550,STU0280,Literacy First,Literacy First,2023-09-22,11-30-2023,active,Spring 2024,West Loop
ENR4501,STU0280,Summer Bridge,Summer Bridge,09-12-2023,03/01/2024,ACTIVE,,South Side
ENR7961,STU0281,Summer Bridge,Summer Bridge,09/09/2023,"February 23, 2024",dropout,Fall 2023,
ENR1214,STU0282,After School Math,After School Math,2023-10-25,26 Dec 2023,ACTIVE,Sp24,
ENR4592,STU0283,After School Math,After School Math,28 Aug 2023,11/01/2023,active,,
ENR8063,STU0283,Summer Bridge,Summer Bridge,09-01-2023,02-26-2024,Dropped,Fall 2023,Hyde Park
ENR3368,STU0284,STEM Bootcamp,STEM Bootcamp,08-18-2023,"February 03, 2024",Dropped,,Englewood
ENR4244,STU0285,Literacy First,Literacy First,09-26-2023,12/05/2023,ACTIVE,,Pilsen
ENR1090,STU0285,Summer Bridge,Summer Bridge,"October 09, 2023",2023-12-09,dropout,Spring 2024,Englewood
ENR6320,STU0285,STEM Bootcamp,STEM Bootcamp,09-01-2023,"December 31, 2023",Active,Fall 2023,Hyde Park
ENR1577,STU0286,After School Math,After School Math,09/09/2023,12/07/2023,Dropped,,South Side
ENR9072,STU0286,Literacy First,Literacy First,10-28-2023,"January 01, 2024",Active,Spring 2024,South Side
ENR7928,STU0286,Summer Bridge,Summer Bridge,"September 18, 2023",,Dropped,,West Loop
ENR5405,STU0287,After School Math,After School Math,08-21-2023,2023-11-07,completed,Sp24,Pilsen
ENR9873,STU0288,Summer Bridge,Summer Bridge,09/02/2023,,Dropped,Spring 2024,Hyde Park
ENR8611,STU0288,STEM Bootcamp,STEM Bootcamp,12 Oct 2023,,dropout,Fall 2023,West Loop
ENR7896,STU0288,After School Math,After School Math,21 Oct 2023,2024-02-26,Dropped,,Hyde Park
ENR4119,STU0289,Literacy First,Literacy First,10-10-2023,01-09-2024,ACTIVE,Fall 2023,Englewood
ENR9772,STU0290,College Prep 101,College Prep 101,09-18-2023,08 Feb 2024,Completed,Fall23,West Loop
ENR1889,STU0290,STEM Bootcamp,STEM Bootcamp,"August 25, 2023",01/17/2024,completed,,Englewood
ENR2596,STU0291,Summer Bridge,Summer Bridge,2023-08-06,2023-10-26,completed,Sp24,West Loop
ENR1658,STU0291,After School Math,After School Math,2023-09-01,"November 16, 2023",Completed,Spring 2024,Hyde Park
ENR9395,STU0291,College Prep 101,College Prep 101,09-04-2023,"January 17, 2024",,Spring 2024,Englewood
ENR8679,STU0292,After School Math,After School Math,09/23/2023,"February 22, 2024",,Fall 2023,Pilsen
ENR1047,STU0292,College Prep 101,College Prep 101,09/13/2023,"January 16, 2024",,Spring 2024,South Side
ENR9293,STU0293,Summer Bridge,Summer Bridge,09/11/2023,2023-11-28,dropout,Fall23,Pilsen
ENR9296,STU0293,After School Math,After School Math,10-11-2023,2023-12-31,Completed,Fall23,Pilsen
ENR9105,STU0294,Literacy First,Literacy First,"August 04, 2023",,Active,,
ENR1153,STU0294,College Prep 101,College Prep 101,"August 12, 2023",04 Dec 2023,completed,Fall 2023,South Side
ENR1152,STU0295,College Prep 101,College Prep 101,08-28-2023,2024-01-28,,Fall23,Pilsen
ENR1936,STU0296,After School Math,After School Math,2023-10-24,03-22-2024,Active,,Hyde Park
ENR2355,STU0297,STEM Bootcamp,STEM Bootcamp,08/05/2023,12/29/2023,active,Fall23,Pilsen
ENR2060,STU0297,Summer Bridge,Summer Bridge,10/03/2023,,Dropped,,Pilsen
ENR3684,STU0298,Literacy First,Literacy First,09/17/2023,03-07-2024,ACTIVE,Sp24,Englewood
ENR8833,STU0298,College Prep 101,College Prep 101,10/16/2023,12-29-2023,Completed,,Englewood
ENR6258,STU0299,College Prep 101,College Prep 101,05 Oct 2023,20 Mar 2024,dropout,Spring 2024,West Loop
ENR8053,STU0299,After School Math,After School Math,09-02-2023,12-04-2023,completed,Sp24,South Side
ENR3010,STU0300,College Prep 101,College Prep 101,"September 15, 2023",03/05/2024,completed,,West Loop
ENR9813,STU0300,,STEM Bootcamp,24 Aug 2023,11-03-2023,completed,Fall 2023,Hyde Park
